Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
The Broad,artmuseums,Art Museums,34.054472,-118.250557,221 S Grand Ave,Los Angeles,CA,90012
Flutter Experience,artmuseums,Art Museums,34.07048,-118.34436,217 S La Brea,Los Angeles,CA,90036
Los Angeles County Museum of Art,artmuseums,Art Museums,34.063931,-118.35923,5905 Wilshire Blvd,Los Angeles,CA,90036
Weedmaps Museum of Weed,museums,Museums,34.08413,-118.32861,720 N Cahuenga Blvd,Los Angeles,CA,90038
Museum of Illusions,museums,Museums,34.1017579797434,-118.337645389123,6751 Hollywood Blvd,Los Angeles,CA,90028
MODS Museum of Dream Space,museums,Museums,34.0736603,-118.3771389,8500 Beverly Blvd,Los Angeles,CA,90048
The Getty Center,artmuseums,Art Museums,34.077794218403,-118.473945310349,1200 Getty Center Dr,Los Angeles,CA,90049
Natural History Museum,museums,Museums,34.016972,-118.288768,900 Exposition Blvd,Los Angeles,CA,90007
Museum Of Death,museums,Museums,34.1018740105487,-118.321218440264,6031 Hollywood Blvd,Los Angeles,CA,90028
Museum of Selfies,museums,Museums,34.1017312395096,-118.338283569089,6757 Hollywood Blvd,Los Angeles,CA,90028
